ic,traj,n_steps,loss,eta,pnorm,gnorm,rmse_T,bias_T,rmse_olw,bias_olw,rmse_slwd,bias_slwd
2,9,7,0.31689364,0.07,0.23503102,5.2116356,0.288679,0.14546481,18.674454,7.6947756,24.822199,-15.61176
2,10,7,0.3169158,0.07,0.23503102,4.7902427,0.2920107,0.14765024,18.776342,7.1702194,24.53055,-15.56937
2,11,7,0.30488047,0.07,0.23503102,5.62342,0.2764084,0.14223808,18.42868,8.236808,24.220837,-15.548732
2,12,7,0.32468164,0.07,0.23503102,5.1596375,0.30713505,0.14866367,19.043018,7.6527724,24.23912,-15.420545
2,13,7,0.2577272,0.07,0.2849043,3.3742087,0.48834732,0.28020197,17.502405,5.4870563,19.135336,-6.0328093
2,14,7,0.2616037,0.07,0.2849043,3.0966978,0.5101138,0.29114044,17.6442,5.117174,18.901617,-5.7161016
2,15,7,0.25627607,0.07,0.2849043,2.907566,0.50024354,0.2831254,17.605955,4.9230814,18.44106,-5.9637733
2,16,7,0.2512314,0.07,0.2849043,3.5380507,0.4894722,0.28070852,17.542946,5.7741365,18.312696,-5.9389687
2,17,7,0.26776087,0.07,0.32390922,3.8899646,0.73671037,0.42075402,17.660587,-3.7231927,17.965202,5.167286
2,18,7,0.23521163,0.07,0.32390922,3.1684506,0.7042511,0.405327,16.501608,-2.8812792,17.564484,5.077291
2,19,7,0.25571075,0.07,0.32390922,3.79457,0.74036324,0.42502657,17.253006,-3.6588302,17.647255,5.2885666
2,20,7,0.24155897,0.07,0.32390922,3.7264156,0.7177993,0.4094207,16.767763,-3.5997276,17.172552,5.0634074
2,21,7,0.27766004,0.07,0.3449767,4.8616724,0.9258449,0.5281415,17.119165,-4.8780265,21.213442,13.341636
2,22,7,0.28939325,0.07,0.3449767,5.226492,0.9286285,0.527878,17.537495,-5.373116,20.873108,13.259148
2,23,7,0.25907055,0.07,0.3449767,4.4856925,0.8962301,0.5085477,16.486021,-4.472551,20.485868,13.071045
2,24,7,0.29092404,0.07,0.3449767,5.1359973,0.9263463,0.5316562,17.626713,-5.280689,20.648582,13.235369
2,25,7,0.2620167,0.07,0.34426254,2.0529962,0.9990405,0.5495971,16.142363,0.15848118,22.78327,16.498749
2,26,7,0.2759921,0.07,0.34426254,2.1073935,1.0132779,0.56462085,16.614075,0.026500663,23.027445,16.524689
2,27,7,0.27885574,0.07,0.34426254,2.1061368,1.0110552,0.55860513,16.71956,-0.02678272,22.921604,16.437096
2,28,7,0.27052182,0.07,0.34426254,1.9570101,1.0018629,0.55607826,16.411871,0.85842955,23.131548,16.622725
2,29,7,0.28025097,0.07,0.3019383,4.228873,0.8231394,0.41505155,18.213152,6.435349,17.929773,8.5963335
2,30,7,0.2628217,0.07,0.3019383,4.8552094,0.790944,0.39499706,17.677206,7.255058,17.558475,8.510438
2,31,7,0.27078077,0.07,0.3019383,4.27445,0.81643754,0.4143076,17.99869,6.5487676,17.647808,8.668653
2,32,7,0.2584397,0.07,0.3019383,4.425418,0.80299574,0.40169328,17.679123,6.7943373,17.418139,8.394085
2,33,7,0.24260646,0.07,0.27811086,3.9954116,0.58325446,0.21039248,17.474499,6.340829,15.624793,-1.8280686
2,34,7,0.23796177,0.07,0.27811086,3.5958335,0.5822377,0.21497484,17.274523,5.8043494,15.383918,-1.9948394
2,35,7,0.22813615,0.07,0.27811086,4.1114626,0.5652294,0.20320693,16.91055,6.437835,15.332214,-2.076472
2,36,7,0.2389674,0.07,0.27811086,3.3004746,0.58462566,0.22014837,17.301855,5.4257455,15.389886,-1.9645013
2,37,7,0.22257537,0.07,0.28939033,1.8449268,0.43239096,0.020799387,15.880738,-0.809968,18.466988,-11.070958
2,38,7,0.23548229,0.07,0.28939033,2.020082,0.44052425,0.031075528,16.498423,-1.025709,18.58758,-10.916276
2,39,7,0.22976813,0.07,0.28939033,2.1526115,0.43392676,0.028211802,16.236698,-1.2085073,18.784369,-11.1560135
2,40,7,0.21900266,0.07,0.28939033,1.7032585,0.42721567,0.02231488,15.775182,-0.5821021,18.842766,-10.999178
2,41,7,0.2403372,0.07,0.30814156,2.8508182,0.42222837,-0.020383678,16.435244,-2.2089229,19.549797,-12.259609
2,42,7,0.21967548,0.07,0.30814156,2.3438103,0.40878254,-0.0358973,15.596715,-1.5132126,19.502142,-12.328608
2,43,7,0.24310738,0.07,0.30814156,2.77589,0.42220736,-0.019975489,16.487766,-2.1585674,19.491581,-12.025992
2,44,7,0.23574665,0.07,0.30814156,2.6999223,0.41240588,-0.03041962,16.180922,-2.0016255,19.765491,-12.396258
2,45,7,0.2301867,0.07,0.32149962,1.515486,0.43915194,0.012029135,16.609999,2.7900457,18.303612,-8.60186
2,46,7,0.24058434,0.07,0.32149962,1.3770299,0.44712037,0.017046202,17.113138,2.6352398,18.501698,-8.6658945
2,47,7,0.2334034,0.07,0.32149962,1.8784738,0.43258762,0.003921928,16.90872,3.4453292,19.165634,-8.874816
2,48,7,0.25868654,0.07,0.32149962,1.3249418,0.4504759,0.01946397,17.950615,2.7195983,19.902933,-8.842012
2,49,7,0.23247892,0.07,0.34254214,1.1312621,0.5522842,0.12225355,17.103268,2.7143466,17.731628,0.4939429
2,50,7,0.2395505,0.07,0.34254214,0.92214346,0.56753784,0.13255207,17.261816,2.3804233,17.869783,0.90219086
2,51,7,0.23215026,0.07,0.34254214,0.90108997,0.569218,0.13106206,17.063667,2.3656285,17.665527,0.8736569
2,52,7,0.22708064,0.07,0.34254214,1.1597583,0.55801636,0.12426547,16.821987,2.6756916,17.779158,0.8350109
2,53,7,0.27750066,0.07,0.37183997,4.5816197,0.6425226,0.2001102,18.112568,-4.5897274,19.129923,6.405932
2,54,7,0.25249854,0.07,0.37183997,4.0361643,0.61913383,0.18505602,17.427046,-3.824157,19.036482,6.242581
2,55,7,0.2795282,0.07,0.37183997,4.6633167,0.63866675,0.19690745,18.513605,-4.5018167,19.394358,6.3692346
2,56,7,0.26351592,0.07,0.37183997,4.4144874,0.6280234,0.18866554,17.96804,-4.2003717,19.075737,6.404895
2,57,7,0.26897776,0.07,0.39713562,4.3330407,0.6608298,0.2276554,17.830996,-4.0086064,20.43766,9.693383
2,58,7,0.27289337,0.07,0.39713562,4.6276007,0.66848546,0.23128174,17.880379,-4.4392343,20.321596,9.8369465
2,59,7,0.25644183,0.07,0.39713562,4.1006756,0.652331,0.22231127,17.244703,-3.792649,20.309618,9.847219
2,60,7,0.28632784,0.07,0.39713562,4.7054076,0.67610925,0.23452304,18.308756,-4.500455,20.596434,10.093901
2,61,7,0.2412874,0.07,0.4165808,1.3827715,0.6253134,0.2157277,17.11287,2.297709,20.376484,9.438134
2,62,7,0.25170377,0.07,0.4165808,1.27673,0.6315309,0.22240488,17.460373,1.8967285,20.859938,9.571255
2,63,7,0.25363404,0.07,0.4165808,1.304867,0.6336445,0.21852647,17.477816,2.0655558,20.893396,9.450437
2,64,7,0.25760487,0.07,0.4165808,1.5102861,0.61646926,0.21405359,17.608503,2.550349,21.163256,9.621832
2,65,7,0.2651787,0.07,0.43517718,2.676487,0.46114415,0.10624304,18.67539,4.955988,18.972084,0.17475784
2,66,7,0.26005507,0.07,0.43517718,3.5069423,0.4401636,0.095542945,18.527105,6.011757,19.009256,0.20096564
2,67,7,0.27371812,0.07,0.43517718,3.0583768,0.45679998,0.10654352,19.010323,5.4649367,19.04903,0.32158005
2,68,7,0.2582035,0.07,0.43517718,3.2607663,0.44783574,0.10037731,18.479685,5.7140274,18.687971,0.037184898
2,69,7,0.25649607,0.07,0.4605004,1.0339459,0.3395651,0.0064203376,17.940683,2.0735252,21.22339,-9.317975
2,70,7,0.2683278,0.07,0.4605004,0.9710463,0.33943433,0.0051570227,18.446619,1.8971754,21.595366,-9.579111
2,71,7,0.25885096,0.07,0.4605004,1.2548656,0.33043867,-0.0010692904,18.208023,2.56879,21.874899,-9.775461
2,72,7,0.27762732,0.07,0.4605004,0.93058467,0.34206057,0.0040668,18.93841,1.9704732,22.2072,-9.701805
2,73,7,0.28088313,0.07,0.48503026,3.7821224,0.2852293,-0.025100732,18.671253,-3.2877648,21.875963,-8.806751
2,74,7,0.30015373,0.07,0.48503026,4.1532116,0.29419753,-0.01868587,19.178291,-3.7744195,22.103218,-8.707371
2,75,7,0.29686776,0.07,0.48503026,4.030466,0.2868336,-0.022543507,19.157492,-3.5665507,21.97281,-8.663357
2,76,7,0.2858811,0.07,0.48503026,3.755564,0.28487548,-0.023677316,18.843283,-3.231092,21.812822,-8.596149
2,77,7,0.29364026,0.07,0.5100445,3.481897,0.29201052,-0.004024785,19.121021,-2.9525898,21.031021,-5.762825
2,78,7,0.2678823,0.07,0.5100445,3.1048882,0.27602023,-0.013244925,18.298422,-2.5052633,20.85765,-5.870338
2,79,7,0.2817421,0.07,0.5100445,3.591375,0.29230753,-0.0044337474,18.755991,-3.1334462,20.858698,-5.6220245
2,80,7,0.260959,0.07,0.5100445,3.1948977,0.28473774,-0.00861377,18.101334,-2.6467156,20.709158,-5.482889
3,1,9,0.19979607,0.049,0.5376217,0.21971197,0.40987748,0.06496828,15.185657,0.6799198,19.495321,-0.7319447
3,2,9,0.20337023,0.049,0.5376217,0.4186657,0.41260192,0.078175746,15.285418,1.2766176,19.513496,-0.54955995
3,3,9,0.21426772,0.049,0.5376217,0.22288631,0.4315553,0.08768473,15.647739,0.8898047,19.315691,-0.52620846
3,4,9,0.19676188,0.049,0.5376217,0.7380237,0.39702797,0.064414375,15.036316,1.7381707,19.03206,-0.9076331
3,5,9,0.22177637,0.049,0.56699383,3.2473466,0.4656032,0.13258561,16.180708,5.057731,19.748117,2.4188235
3,6,9,0.2240203,0.049,0.56699383,2.8857784,0.47087285,0.12773114,16.325201,4.623171,19.958836,2.4039335
3,7,9,0.21604478,0.049,0.56699383,3.6633165,0.4443385,0.10994963,15.916656,5.5619736,19.593832,2.293115
